metric,random_forest_importance,permutation_importance,permutation_std,normalized_importance
average_players_eliminated,0.5210397716485593,0.16472755555555663,0.043236202037381946,0.5356831084440319
average_damage_to_players,0.3338565662991647,0.09646377777778253,0.03651244543514473,0.31369382103669413
average_level,0.10719364578643079,0.033031111111113044,0.014300109332224937,0.1074149872235166
placement_standard_deviation,0.03791001626584537,0.013286888888889856,0.0063364098921227276,0.04320808329575735
